,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99.6%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Heating DB 99%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 0.4%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%,delta - Cooling DB 1%
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,1974.0,-2.2316607902735575,2.9529798880027,-27.1,-3.8785999999999987,-2.0,-0.5,9.7964,1974.0,-1.710231003039517,2.5417842116398446,-25.200000000000003,-3.0590000000000006,-1.5,-0.20000000000000018,9.541,1974.0,1.1076624113475202,1.4470497070710384,-13.7,0.3035999999999994,1.1036000000000055,1.9000000000000021,14.4,1974.0,0.8639351570415479,1.217494156093449,-13.040999999999988,0.1999999999999993,0.8999999999999986,1.5,12.759000000000013
Asia,2059.0,-0.8113019912578946,1.738782762981767,-12.8,-1.5036000000000023,-0.6000000000000001,0.09999999999999976,8.496399999999998,2059.0,-0.5515619232637208,1.388417896745532,-12.0,-1.1000000000000014,-0.40000000000000036,0.10000000000000142,7.7,2059.0,0.7439726080621692,0.9898440809512962,-4.400000000000002,0.20000000000000195,0.7000000000000028,1.2035999999999998,7.200000000000001,2059.0,0.6043244293346302,0.8252975271967636,-3.8000000000000007,0.10000000000000142,0.5590000000000153,1.0,6.5
Africa,568.0,-0.8910309859154927,2.1253333392146194,-17.0036,-2.0,-0.5999999999999996,0.11960000000000104,15.5964,568.0,-0.6171038732394364,1.813704488972309,-15.9,-1.3000000000000007,-0.39999999999999947,0.1999999999999993,15.4,568.0,0.7529154929577465,1.778175602047563,-7.600000000000001,0.10360000000000014,0.6000000000000014,1.1090000000000142,23.3,568.0,0.6507411971831006,1.6468839235874153,-7.599999999999998,0.10000000000000142,0.5,0.9590000000000138,22.3
special,3.0,-0.7666666666666669,2.7300793639257694,-3.9000000000000004,-1.7000000000000002,0.5000000000000001,0.7999999999999998,1.0999999999999996,3.0,-0.7333333333333331,2.939954648176283,-3.9999999999999996,-1.95,0.09999999999999987,0.9,1.7000000000000002,3.0,1.3678666666666643,0.8320923346199828,0.6999999999999957,0.9017999999999979,1.1036000000000001,1.7017999999999986,2.299999999999997,3.0,1.1999999999999982,1.0583005244258366,0.3999999999999986,0.5999999999999979,0.7999999999999972,1.5999999999999979,2.3999999999999986
North America,2962.0,-1.0401164078325453,2.2027006481814544,-16.0,-2.2,-1.1000000000000014,0.0,26.363999999999997,2962.0,-0.7908322079675888,1.8540806711938447,-14.8,-1.7590000000000001,-0.8999999999999986,0.09999999999999998,20.400000000000002,2962.0,0.5605211343686715,0.9469320812159545,-5.0000000000000036,0.0,0.5999999999999943,1.1000000000000014,9.703600000000002,2962.0,0.40768433490884726,0.7838796098724531,-4.199999999999999,-0.04099999999998616,0.3999999999999986,0.8135000000000208,10.600000000000001
South America,317.0,-0.53699810725552,1.680883041472645,-11.7,-1.2000000000000028,-0.40000000000000036,0.2,5.4,317.0,-0.4012839116719245,1.3985312078721186,-8.5,-1.0,-0.3999999999999999,0.19999999999999996,5.8,317.0,0.5417615141955854,1.1727898099777192,-6.099999999999998,0.10000000000000142,0.5,1.0,7.300000000000004,317.0,0.4218517350157748,1.0904815073266252,-6.299999999999997,0.0,0.3000000000000007,0.8999999999999986,7.359000000000016
Oceania,941.0,-0.4908471838469717,1.0045832894020208,-5.507200000000001,-0.8000000000000007,-0.3035999999999994,0.0,3.4963999999999995,941.0,-0.39879383634431465,0.785728377356477,-4.3,-0.6000000000000014,-0.25900000000000034,0.0,2.440999999999999,941.0,0.4209721572794917,0.774969525571415,-3.0,0.0035999999999987153,0.3999999999999986,0.8000000000000007,3.400000000000002,941.0,0.3369341126461244,0.5994550680684606,-2.3999999999999986,0.0,0.3000000000000007,0.6000000000000014,3.5999999999999943
other,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
